LINCS_ID	LINCS_name	TCGA_ID
780	DDR1	ENSG00000204580
7849	PAX8	ENSG00000125618
2978	GUCA1A	ENSG00000048545
2049	EPHB3	ENSG00000182580
2101	ESRRA	ENSG00000173153
8717	TRADD	ENSG00000102871
10594	PRPF8	ENSG00000174231
826	CAPNS1	ENSG00000126247
11224	RPL35	ENSG00000136942
6158	RPL28	ENSG00000108107
1982	EIF4G2	ENSG00000110321
8664	EIF3D	ENSG00000100353
11315	PARK7	ENSG00000116288
6727	SRP14	ENSG00000140319
2665	GDI2	ENSG00000057608
6135	RPL11	ENSG00000142676
6144	RPL21	ENSG00000122026
6152	RPL24	ENSG00000114391
4735	SEPT2	ENSG00000168385
6233	RPS27A	ENSG00000143947
6207	RPS13	ENSG00000110700
2197	FAU	ENSG00000149806
1072	CFL1	ENSG00000172757
6141	RPL18	ENSG00000063177
8665	EIF3F	ENSG00000175390
6193	RPS5	ENSG00000083845
6155	RPL27	ENSG00000131469
6164	RPL34	ENSG00000109475
4677	NARS	ENSG00000134440
56910	STARD7	ENSG00000084090
6143	RPL19	ENSG00000108298
5250	SLC25A3	ENSG00000075415
6205	RPS11	ENSG00000142534
6133	RPL9	ENSG00000163682
1655	DDX5	ENSG00000108654
6128	RPL6	ENSG00000089009
23399	CTDNEP1	ENSG00000175826
4736	RPL10A	ENSG00000198755
11335	CBX3	ENSG00000122565
5690	PSMB2	ENSG00000126067
10657	KHDRBS1	ENSG00000121774
51493	RTCB	ENSG00000100220
2079	ERH	ENSG00000100632
23	ABCF1	ENSG00000204574
1603	DAD1	ENSG00000129562
11143	KAT7	ENSG00000136504
7705	ZNF146	ENSG00000167635
9092	SART1	ENSG00000175467
3608	ILF2	ENSG00000143621
9552	SPAG7	ENSG00000091640
8882	ZPR1	ENSG00000109917
6881	TAF10	ENSG00000166337
10438	C1D	ENSG00000197223
4841	NONO	ENSG00000147140
23020	SNRNP200	ENSG00000144028
387	RHOA	ENSG00000067560
10921	RNPS1	ENSG00000205937
6229	RPS24	ENSG00000138326
6156	RPL30	ENSG00000156482
3326	HSP90AB1	ENSG00000096384
375	ARF1	ENSG00000143761
3550	IK	ENSG00000113141
8724	SNX3	ENSG00000112335
27013	CNPPD1	ENSG00000115649
10285	SMNDC1	ENSG00000119953
4670	HNRNPM	ENSG00000099783
9045	RPL14	ENSG00000188846
2987	GUK1	ENSG00000143774
79036	KXD1	ENSG00000105700
533	ATP6V0B	ENSG00000117410
6194	RPS6	ENSG00000137154
23326	USP22	ENSG00000124422
6923	TCEB2	ENSG00000103363
1327	COX4I1	ENSG00000131143
10959	TMED2	ENSG00000086598
2339	FNTA	ENSG00000168522
6230	RPS25	ENSG00000118181
6167	RPL37	ENSG00000145592
1938	EEF2	ENSG00000167658
3190	HNRNPK	ENSG00000165119
51433	ANAPC5	ENSG00000089053
6189	RPS3A	ENSG00000145425
3192	HNRNPU	ENSG00000153187
8661	EIF3A	ENSG00000107581
7184	HSP90B1	ENSG00000166598
4478	MSN	ENSG00000147065
81	ACTN4	ENSG00000130402
351	APP	ENSG00000142192
5573	PRKAR1A	ENSG00000108946
1832	DSP	ENSG00000096696
5885	RAD21	ENSG00000164754
4691	NCL	ENSG00000115053
9948	WDR1	ENSG00000071127
1173	AP2M1	ENSG00000161203
1213	CLTC	ENSG00000141367
163	AP2B1	ENSG00000006125
9761	MLEC	ENSG00000110917
3927	LASP1	ENSG00000002834
10992	SF3B2	ENSG00000087365
9528	TMEM59	ENSG00000116209
1465	CSRP1	ENSG00000159176
808	CALM3	ENSG00000160014
9782	MATR3	ENSG00000280987
10487	CAP1	ENSG00000131236
10728	PTGES3	ENSG00000110958
7453	WARS	ENSG00000140105
10397	NDRG1	ENSG00000104419
5216	PFN1	ENSG00000108518
5792	PTPRF	ENSG00000142949
7534	YWHAZ	ENSG00000164924
6647	SOD1	ENSG00000142168
65108	MARCKSL1	ENSG00000175130
2752	GLUL	ENSG00000135821
4924	NUCB1	ENSG00000104805
3939	LDHA	ENSG00000134333
10399	RACK1	ENSG00000204628
6746	SSR2	ENSG00000163479
5034	P4HB	ENSG00000185624
292	SLC25A5	ENSG00000005022
5245	PHB	ENSG00000167085
6282	S100A11	ENSG00000163191
5476	CTSA	ENSG00000064601
9804	TOMM20	ENSG00000173726
967	CD63	ENSG00000135404
3337	DNAJB1	ENSG00000132002
7323	UBE2D3	ENSG00000109332
7494	XBP1	ENSG00000100219
6711	SPTBN1	ENSG00000115306
9741	LAPTM4A	ENSG00000068697
6161	RPL32	ENSG00000144713
975	CD81	ENSG00000110651
754	PTTG1IP	ENSG00000183255
2896	GRN	ENSG00000030582
3146	HMGB1	ENSG00000189403
2739	GLO1	ENSG00000124767
7332	UBE2L3	ENSG00000185651
9295	SRSF11	ENSG00000116754
23450	SF3B3	ENSG00000189091
3313	HSPA9	ENSG00000113013
10971	YWHAQ	ENSG00000134308
57062	DDX24	ENSG00000089737
5518	PPP2R1A	ENSG00000105568
3098	HK1	ENSG00000156515
11014	KDELR2	ENSG00000136240
10577	NPC2	ENSG00000119655
8655	DYNLL1	ENSG00000088986
1933	EEF1B2	ENSG00000114942
9516	LITAF	ENSG00000189067
5589	PRKCSH	ENSG00000130175
2806	GOT2	ENSG00000125166
2280	FKBP1A	ENSG00000088832
37	ACADVL	ENSG00000072778
6500	SKP1	ENSG00000113558
22919	MAPRE1	ENSG00000101367
23521	RPL13A	ENSG00000142541
10121	ACTR1A	ENSG00000138107
4076	CAPRIN1	ENSG00000135387
5501	PPP1CC	ENSG00000186298
10097	ACTR2	ENSG00000138071
7803	PTP4A1	ENSG00000112245
377	ARF3	ENSG00000134287
2876	GPX1	ENSG00000233276
5230	PGK1	ENSG00000102144
6612	SUMO3	ENSG00000184900
6232	RPS27	ENSG00000177954
1200	TPP1	ENSG00000166340
2782	GNB1	ENSG00000078369
