ENTREZID,ENSEMBL
780,ENSG00000204580
7849,ENSG00000125618
2978,ENSG00000048545
2049,ENSG00000182580
2101,ENSG00000173153
8717,ENSG00000102871
10594,ENSG00000174231
826,ENSG00000126247
11224,ENSG00000136942
6158,ENSG00000108107
1982,ENSG00000110321
8664,ENSG00000100353
11315,ENSG00000116288
6727,ENSG00000140319
2665,ENSG00000057608
6135,ENSG00000142676
6144,ENSG00000122026
6152,ENSG00000114391
4735,ENSG00000168385
6233,ENSG00000143947
6207,ENSG00000110700
2197,ENSG00000149806
1072,ENSG00000172757
6141,ENSG00000063177
8665,ENSG00000175390
6193,ENSG00000083845
6155,ENSG00000131469
6164,ENSG00000109475
4677,ENSG00000134440
56910,ENSG00000084090
6143,ENSG00000108298
5250,ENSG00000075415
6205,ENSG00000142534
6133,ENSG00000163682
1655,ENSG00000108654
6128,ENSG00000089009
23399,ENSG00000175826
4736,ENSG00000198755
11335,ENSG00000122565
5690,ENSG00000126067
10657,ENSG00000121774
51493,ENSG00000100220
2079,ENSG00000100632
23,ENSG00000204574
1603,ENSG00000129562
11143,ENSG00000136504
7705,ENSG00000167635
9092,ENSG00000175467
3608,ENSG00000143621
9552,ENSG00000091640
8882,ENSG00000109917
6881,ENSG00000166337
10438,ENSG00000197223
4841,ENSG00000147140
23020,ENSG00000144028
387,ENSG00000067560
10921,ENSG00000205937
6229,ENSG00000138326
6156,ENSG00000156482
3326,ENSG00000096384
375,ENSG00000143761
3550,ENSG00000113141
8724,ENSG00000112335
27013,ENSG00000115649
10285,ENSG00000119953
4670,ENSG00000099783
9045,ENSG00000188846
2987,ENSG00000143774
79036,ENSG00000105700
533,ENSG00000117410
6194,ENSG00000137154
23326,ENSG00000124422
6923,ENSG00000103363
1327,ENSG00000131143
10959,ENSG00000086598
2339,ENSG00000168522
6230,ENSG00000118181
6167,ENSG00000145592
1938,ENSG00000167658
3190,ENSG00000165119
51433,ENSG00000089053
6189,ENSG00000145425
3192,ENSG00000153187
8661,ENSG00000107581
7184,ENSG00000166598
4478,ENSG00000147065
81,ENSG00000130402
351,ENSG00000142192
5573,ENSG00000108946
1832,ENSG00000096696
5885,ENSG00000164754
4691,ENSG00000115053
9948,ENSG00000071127
1173,ENSG00000161203
1213,ENSG00000141367
163,ENSG00000006125
9761,ENSG00000110917
3927,ENSG00000002834
10992,ENSG00000087365
9528,ENSG00000116209
1465,ENSG00000159176
808,ENSG00000160014
9782,ENSG00000280987
10487,ENSG00000131236
10728,ENSG00000110958
7453,ENSG00000140105
10397,ENSG00000104419
5216,ENSG00000108518
5792,ENSG00000142949
7534,ENSG00000164924
6647,ENSG00000142168
65108,ENSG00000175130
2752,ENSG00000135821
4924,ENSG00000104805
3939,ENSG00000134333
10399,ENSG00000204628
6746,ENSG00000163479
5034,ENSG00000185624
292,ENSG00000005022
5245,ENSG00000167085
6282,ENSG00000163191
5476,ENSG00000064601
9804,ENSG00000173726
967,ENSG00000135404
3337,ENSG00000132002
7323,ENSG00000109332
7494,ENSG00000100219
6711,ENSG00000115306
9741,ENSG00000068697
6161,ENSG00000144713
975,ENSG00000110651
754,ENSG00000183255
2896,ENSG00000030582
3146,ENSG00000189403
2739,ENSG00000124767
7332,ENSG00000185651
9295,ENSG00000116754
23450,ENSG00000189091
3313,ENSG00000113013
10971,ENSG00000134308
57062,ENSG00000089737
5518,ENSG00000105568
3098,ENSG00000156515
11014,ENSG00000136240
10577,ENSG00000119655
8655,ENSG00000088986
1933,ENSG00000114942
9516,ENSG00000189067
5589,ENSG00000130175
2806,ENSG00000125166
2280,ENSG00000088832
37,ENSG00000072778
6500,ENSG00000113558
22919,ENSG00000101367
23521,ENSG00000142541
10121,ENSG00000138107
4076,ENSG00000135387
5501,ENSG00000186298
10097,ENSG00000138071
7803,ENSG00000112245
377,ENSG00000134287
2876,ENSG00000233276
5230,ENSG00000102144
6612,ENSG00000184900
6232,ENSG00000177954
1200,ENSG00000166340
2782,ENSG00000078369
4926,ENSG00000137497
5901,ENSG00000132341
823,ENSG00000014216
813,ENSG00000128595
4779,ENSG00000082641
10550,ENSG00000144746
1808,ENSG00000092964
6176,ENSG00000137818
1495,ENSG00000044115
1509,ENSG00000117984
4144,ENSG00000168906
3915,ENSG00000135862
5757,ENSG00000187514
23196,ENSG00000048828
9689,ENSG00000082153
468,ENSG00000128272
6210,ENSG00000134419
308,ENSG00000164111
3925,ENSG00000117632
4035,ENSG00000123384
5695,ENSG00000136930
8682,ENSG00000162734
1891,ENSG00000104823
4953,ENSG00000115758
8826,ENSG00000140575
2547,ENSG00000196419
50,ENSG00000100412
8404,ENSG00000152583
4170,ENSG00000143384
3303,ENSG00000204389
6301,ENSG00000031698
7009,ENSG00000139644
10960,ENSG00000169223
3329,ENSG00000144381
7791,ENSG00000159840
1153,ENSG00000099622
10574,ENSG00000135624
5720,ENSG00000092010
5048,ENSG00000007168
6204,ENSG00000124614
6209,ENSG00000115268
5714,ENSG00000099341
3920,ENSG00000005893
6159,ENSG00000162244
2950,ENSG00000084207
10525,ENSG00000149428
6633,ENSG00000125743
5351,ENSG00000083444
7756,ENSG00000010244
5708,ENSG00000175166
6319,ENSG00000099194
5908,ENSG00000127314
6227,ENSG00000171858
10134,ENSG00000185825
1508,ENSG00000164733
3735,ENSG00000065427
2058,ENSG00000136628
9588,ENSG00000117592
5499,ENSG00000172531
51669,ENSG00000133872
10768,ENSG00000168710
9798,ENSG00000182149
2783,ENSG00000172354
3015,ENSG00000164032
9611,ENSG00000141027
6202,ENSG00000142937
23019,ENSG00000125107
1718,ENSG00000116133
8766,ENSG00000103769
5660,ENSG00000197746
55905,ENSG00000124226
11171,ENSG00000023734
6281,ENSG00000197747
10694,ENSG00000156261
10528,ENSG00000101361
5689,ENSG00000008018
10575,ENSG00000115484
2034,ENSG00000116016
3301,ENSG00000086061
5710,ENSG00000159352
7385,ENSG00000140740
1152,ENSG00000166165
389,ENSG00000155366
5223,ENSG00000171314
6772,ENSG00000115415
6745,ENSG00000124783
6434,ENSG00000136527
2288,ENSG00000004478
3068,ENSG00000143321
10724,ENSG00000198408
4074,ENSG00000003056
191,ENSG00000101444
23022,ENSG00000129116
6181,ENSG00000177600
7203,ENSG00000163468
1974,ENSG00000156976
5496,ENSG00000115241
3895,ENSG00000126777
